ZWO, ASI120MM Mini, 3.75, 1280, 960
QHY, 5L-II-M, 3.75, 1280, 960
ZWO, ASI2600MM, 3.76, 6248, 4176
QHY, QHY600MM, 3.76, 6248, 4176
